Country,Population,Per_Capita_GNI,Agriculture_Forestry_Fishing,Construction,Exports,Imports,Transport_Communication,Retail_Trade_Hospitality,Gross_National_Income_USD,Gross_Domestic_Product
 Afghanistan ,40099462,377,5002252164,300111089,1803587091,5900628595,1471191459,1562325057,15114672599,14939009447
 Albania ,2854710,6290,3228969140,1741168718,5590528223,8016544325,1116720699,2453057627,17956196785,18260043500
 Algeria ,44177969,3618,19903888815,18179521853,43703706766,43256511555,15738457930,21304705600,1.60E+11,1.63E+11
 Andorra ,79034,42066,17681968,258133073,1161415331,1112037714,170468361,663446350,3324647529,3324647529
 Angola ,34503774,2070,8101381220,4407157262,31095400431,11467589802,1434058969,14886742824,71422092267,70533243177
 Antigua and Barbuda ,93219,14735,31959259,192696296,724038736,839310581,120248148,263162963,1373574656,1421200000
 Azerbaijan ,10312992,5263,3209882353,3218176471,25487647059,16336941176,4723294118,6227176471,54276583194,54622176471
 Argentina ,45276780,10590,29352350216,17865319704,87867655491,72817326087,27389573485,75740905225,4.79E+11,4.87E+11
 Australia ,25921089,64490,55031298801,1.19E+11,4.48E+11,3.46E+11,1.04E+11,1.59E+11,1.67E+12,1.73E+12
 Austria ,8922082,54082,5822973541,31141351298,2.69E+11,2.66E+11,37959506191,66613258933,4.83E+11,4.80E+11
 Bahamas ,407906,25962,54885000,762441000,3081770000,4722510000,830946000,2226296000,10590100000,11208600000
 Bahrain ,1463265,24990,114292859,3203176391,35234574468,27577393617,2833060660,2483723819,36567518101,38868670213
 Bangladesh ,169356251,2579,48265542603,37550041398,44240614851,70788218221,34632158746,63174020514,4.37E+11,4.15E+11
 Armenia ,2790974,5032,1571535246,902838385,4854383306,5991229822,913853737,1798607270,14043616746,13861418912
 Barbados ,281200,16887,71800000,281900000,1471300000,1960350000,532600000,757200000,4748718879,4843800000
 Belgium ,11611419,51639,3939944521,28739288521,5.16E+11,5.10E+11,52717810745,67601178259,6.00E+11,5.94E+11
 Bermuda ,64185,112607,17153402,282380806,3598243481,1738948207,328785897,673756556,7227667075,7230610106
 Bhutan ,777486,2809,404894756,279075114,686022222,1162281406,233450026,278161438,2183728787,2381373513
 Bolivia (Plurinational State of) ,12079472,3266,5221650827,1142974478,11243140348,12605111072,3631438152,3890587190,39454581920,40408208528
 Bosnia and Herzegovina ,3270943,7082,1204869125,1020274988,9968914277,12750062005,1835672292,3736371556,23163373600,23365274674
 Botswana ,2588423,6692,303289225,2049821112,7858678618,8783740495,857003982,2566713501,17321391760,17614859700
 Brazil ,214326223,7305,1.11E+11,55139793755,3.23E+11,3.07E+11,1.03E+11,1.99E+11,1.57E+12,1.61E+12
 Belize ,400031,5936,191570272,150586514,1158164943,1248326800,173963264,439455587,2374631730,2491673431
 Solomon Islands ,707851,2323,548229667,81681971,414071523,551951200,101726552,280260990,1644416715,1632291061
 British Virgin Islands ,31122,45120,1983849,53338525,1722196885,1185019570,116846924,271395598,1404238792,1538792087
 Brunei Darussalam ,445373,31650,175962217,342150645,11228856094,9377938267,534093395,945862170,14096162741,14006497000
 Bulgaria ,6885868,11889,3670813744,2765491073,51549334099,50138561775,9131230065,13577965564,81866102100,84057565267
 Myanmar ,53798084,1095,14925509689,3339202231,15381631367,12710921584,7544585620,12485403064,58926127842,58582089718
 Burundi ,12551213,312,1322658220,133840983,334814542,1174110406,148719389,201770037,3910535099,3899747783
 Belarus ,9578167,6842,4640651127,3480828779,49184016465,45444352270,8547218923,6481940776,65534268073,68206172117
 Cambodia ,16589023,1523,6058766822,4158145204,15687901596,22886955112,1765493304,3047377549,25257053702,26669490942
 Cameroon ,27198628,1636,7803535845,2608851886,7883872847,9256886994,5608048443,7331542280,44501391743,45367649044
 Canada ,38155012,51741,35298145664,1.41E+11,6.11E+11,6.09E+11,1.44E+11,2.35E+11,1.97E+12,1.99E+12
 Cabo Verde ,587925,3229,85380804,255776838,476614943,1123172369,213850861,212076326,1898443771,1936174201
 Cayman Islands ,68136,61982,24489222,242909116,3595414477,2618830765,321826431,631950091,4223197056,5808612073
 Central African Republic ,5457154,493,799206242,40715715,333133756,784157435,51877251,465043183,2689505126,2517718099
 Sri Lanka ,21773441,3823,7686523521,5823600015,15131954882,21585804973,9307964085,10370119561,83245207212,85308759183
 Chad ,17179740,923,7204199015,295114694,4350335552,3401746610,598026539,1677902921,15853971449,16409566631
 Chile ,19493184,15320,10414961431,19382562280,1.01E+11,1.03E+11,24881275196,34088596088,2.99E+11,3.17E+11
 China ,1425893465,12324,1.35E+12,1.24E+12,3.53E+12,3.06E+12,1.41E+12,1.99E+12,1.76E+13,1.77E+13
 Colombia ,51516562,6003,23361443597,14850023447,51599165400,76863163971,21597154525,42756222380,3.09E+11,3.14E+11
 Comoros ,821625,1620,500474447,11299215,87767470,364547252,83759102,257016730,1331432199,1340468496
 Congo ,5835806,1737,1100211803,137802709,8831287135,5173753744,824554590,1989345443,10133957855,12840627675
 D.R. of the Congo ,95894118,541,10486216666,558023404,21651289665,21234910077,4661105234,6318386895,51897907755,52849911906
 Cook Islands ,17003,19264,8945543,10361924,277878440,195667916,36339249,81394396,327543922,327543922
 Costa Rica ,5153957,11627,2863275923,2655400952,23226247652,22161095425,5704930357,7142013006,59926089135,64282436594
 Croatia ,4060135,16950,2004502090,3426386012,35358798636,36372794811,5964827661,9865657155,68820292559,68955088873
 Cuba ,11256372,11086,2683671309,11654016821,6962835496,6121201517,6801997550,21631933202,1.25E+11,1.27E+11
 Cyprus ,880028,29554,483031143,1548443614,24606202507,23776273631,3596595009,3505878827,26008033632,28408121234
 Czechia ,10510751,25608,5200485896,14324919850,2.05E+11,1.97E+11,32320814337,31229532018,2.69E+11,2.82E+11
 Benin ,12996895,1347,5046093382,1016672337,3700039684,4799723190,1578600764,2655335484,17502880446,17687623535
 Denmark ,5854240,70390,3454049532,19251761247,2.38E+11,2.09E+11,43440764691,52452054810,4.12E+11,3.98E+11
 Dominica ,72412,7594,94477778,32639883,114172210,276621480,73318445,62648126,549867076,548215595
 Dominican Republic ,11117873,8053,5339627232,13469953952,20500491794,29198653884,8739375330,15245878031,89537227858,94243426487
 Ecuador ,17797737,5873,9994760000,9320219000,27803104000,26751297000,8211188000,12756896000,1.05E+11,1.06E+11
